Project Name,Project Description,"Project Status (Complete, Ongoing, Stalled e.t.c)",Start Date,Expected End Date,Percentage Done (%),Sub-County,Ward,Location,Google Map Address,Implementing Agency,Contractor's Name,Budgeted Amount,Project Cost,Source of Funds,Remarks about the Project)
Proposed construction of gate and perimeter wall at kaptich chepsiro/kiptoror ward,,Complete,,,100%,Cherangany,Chepsiro-Kiptoror,Chepsiro-Kiptoror,,Roads and Infrastructure,Philken Construction Ltd,"2,993,855.60","2,993,855.60",CGTN,in progress
Routine road maintenance of Tondoria Junction-chemichemi centre in Machewa Ward,,Complete,,,100%,Saboti,Machewa,Machewa,,Roads and Infrastructure,Romalia Enterprises Limited,"2,246,200","2,246,200",CGTN,in progress
Proposed routine maintenance of pcm main road kibusi,,Complete,,,100%,Endebess,Matumbei,Matumbei,,Roads and Infrastructure,Jacben Company Limited,"2,411,350","2,411,350",CGTN,in progress
Routine maintenance of Mengo junction-mengo pri.-chesito-situm-muroki junction,,Complete,,,100%,Saboti,Saboti,Saboti,,Roads and Infrastructure,Damatek Construction,"2,599,000","2,599,000",CGTN,in process
Routine Maintenance of Mawe saba-Section 19-Salvation army church,,Complete,,,100%,Saboti,Tuwan,Tuwan,,Roads and Infrastructure,Harmud Ventures,"1,048,500","1,048,500",CGTN,in process
Routine maintenance of veterinary junction Y2-ST.Columbans sec.school in tuwan,,Complete,,,100%,Saboti,Tuwan,Tuwan,,Roads and Infrastructure,Glowan Limited,"372,930","372,930",CGTN,in process
Routine maintenance of siyenga highway-kalilwa-kwa muthoni-nalianya junction-wandabwa-tulwet road,,Complete,,,100%,Kiminini,Waitaluk,Waitaluk,,Roads and Infrastructure,Anashlog Services Ltd,"4,300,112","4,300,112",CGTN,in process
Gravelling of veterinary-Bidii -Pombo-Section six road in Bidii Ward,,Complete,,,100%,Kwanza,Bidii,Bidii,,Roads and Infrastructure,Pensha Enterprises Limited,"4,821,180","4,821,180",CGTN,in process
Proposed gravelling in Chepchoina Ward-japata Kibosit Road,,Complete,,,100%,Endebess,Chepchoina,Chepchoina,,Roads and Infrastructure,Koswil Holdings Limited,"4,999,825","4,999,825",CGTN,in process
Proposed Culvert Installation at Misoi and Kiptoi in Cherangany/Suwerwa Ward,,Complete,,,100%,Cherangany,Cherangany,Cherangany,,Roads and Infrastructure,Kassicho Investment Limited,"966,350","966,350",CGTN,in process
Routine road maintenance of Koibarak-Karnet -Soko Mjinga Road,,Complete,,,100%,Cherangany,Cherangany,Cherangany,,Roads and Infrastructure,Brothers marketing service ltd,"1,896,750","1,896,750",CGTN,processed
